0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:11:14 +0530] "GET /MedioxyPharm/favicon.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:41 +0530] "GET /MedioxyPharm/index.jsp HTTP/1.1" 200 51794
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:41 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 200 21643
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:41 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:41 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 200 47610
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:41 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 34988
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/css/custom.css HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/js/respond.min.js HTTP/1.1" 200 4591
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/js/waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/js/bootstrap-hover-dropdown.js HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/js/front.js HTTP/1.1" 200 5262
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 200 14916
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/logo.png HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/logo-small.png HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/banner.jpg HTTP/1.1" 200 35695
